 HYMN TITLE,Text,LSB#,TLH#,LW#,LBW#,ELH#,CW#,WOV#,HS'98#
All My Heart Again Rejoices,Luke 2:8-14,360,77,39,46,115,37,,
All My Heart Sings and Rejoices,Luke 2:11,360,77,39,46,115,37,,
All My Heart This Night Rejoices,Luke 2:11,360,77,39,46,115,37,,
All My Hope on God is Founded,,,,,,203,,,
All People that on Earth Do Dwell,Ps 100,791,14,435,245,51,233,,
All Praise Be Yours,,,,,,,350,,
All Praise to God Who Reigns Above,Deut 32:3,819,19,452,542,435,236,,
All Praise to Thee Eternal God,John 1:14,382,80,35,48,565,33,,
All Praise to Thee My God This Night,Ps 92:1-2,883,558,484,278,,592,,
"All Praise to Thee, for Thou, O King Divine",Phil 2:5-11,815,,,,,,,862
All Praise to You Eternal Lord,John 1:14,382,80,35,48,565,33,,
All Praise to You O Lord,,,,,78,,,,
All that I Was My Sin My Guilt,1 Cor 15:10,,378,,,451,,,
All the Earth with Joy Is Sounding,Matt 12:39-41,462,,,,,,,829
All Who Believe and Are Baptized,Mark 16:16,601,301,225,194,241,299,,
All Who Love and Serve Your City,,,,,436,,,,
All Who Would Valiant Be,"Heb 11:13-16, 33-40",,,383,498,,,,
All Who Would Valiant Be,"Heb 11:13-16, 33-40",,,384,498,,,,
All Ye Who on the Earth do Dwell,Ecclus 50:22-24,,581,,,52,,,
All Ye Who on This Earth do Dwell,Ecclus 50:22-24,,581,,,52,,,
"All You Works of God, Bless the Lord",Ps 103:20-22,930,,,,,,,914
All You Works of the Lord,,931,,9,18,,,,
Alleluia Alleluia Give Thanks,,,,,,,154,,
Alleluia Jesus Lives,,,,,,340,153,,
Alleluia! Jesus is Risen,Matt 28:5-7,474,,,,,,674,
Alleluia! Sing to Jesus,Rev 7:9-14,821,,,158,,169,,851
"Alleluia, Alleluia! Hearts to Heaven",1 Cor 15:54b-57,477,,,,,,,
"Alleluia, Song of Gladness",Ps 137:1-6,417,,,,,,654,819
Alleluia—I,,951,,,,,,,907
Alleluia—II,,952,,,,,,613,
Allelujah/Alleluia/Hallelujah Let Praises Ring,Rev 19:1,822,23,437,,6,241,,
Almighty Father Heaven and Earth,1 Pet 4:10,,438,,,447,480,,
Almighty Father Strong to Save,Gen 1:1-10,717,,,467,,517,,906
"Almighty Father, Bless the Word",Mark 4:26-29,923,52,216,,412,323,,
Almighty God Thy Word is Cast,Mark 4:3-9,577,49,342,234,228,324,,
"Almighty God, Your Word is Cast",Matt 13:3-9,577,49,342,234,228,324,,
Almighty Lord before Thy Throne,Ps 59:16,,579,,,,,,
Am I a Soldier of the Cross,1 Cor 16:13,,445,,,,,,
Amazing Grace,"Eph 2:1, 4-9",744,,509,448,,379,,
Amid the World's Bleak Wilderness,Ps 80:8-19,,,273,378,,342,,
An Awefull Mystery Is Here,1 Cor 11:23-35,,304,,,309,,,
And Have the Bright Immensities,,,,,391,,,,
And will the Judge Descend,Matt 25:41,,610,,,,,,
"And Wilt Thou Pardon, Lord",Ps 143:4,,322,,,,,,
Angels from the Realms of Glory,Luke 2:8-17,367,136,50,50,114,80,,
Angels We Have Heard on High,Luke 2:7-20,368,,55,71,116,63,,
Approach My Soul the Mercy-Seat,Matt 11:28,,456,,,,,,
Arise and Shine in Splendor,Is 60:1-6,396,126,85,,166,81,,
Arise My Soul Arise,,,,,516,,244,,
Arise My Soul Sing Joyfully,,,,,,118,44,,
Arise O God and Shine,Is 60:3,,642,,,,,,
Arise Sons of the Kingdom,Luke 19:28,,69,,,105,,,
"Arise, O Christian People",Luke 3:4-5,354,75,25,,,14,,
"Arm These Thy Soldiers, Mighty Lord",Eph 6:13,,332,,,508,,,
Around the Throne a Glorious Band,,,,,,,549,,
Around the Throne of God a Band,Ps 91:11,,256,,,546,198,,
Around You O Lord Jesus,,,,,496,,,,
Art Thou Weary Art Thou Troubled,Matt 11:28,,513,,,,,,
As After the Waterbrooks Panteth,,,,,,462,,,
As Angels Joyed with One Accord,,,,,,,5,,
As Each Happy Christmas,Luke 2:4-7,,,66,,117,,,
As Men of Old Their Firstfruits Brought,,,,,404,,,,
As Moses Lost in Sinai's Wilderness,Ps 22:3-5,,,324,,,,,
As Pants the Hart for Cooling Streams,Ps 42,,525,,452,,,,
"As Rebels, Lord, Who Foolishly Have Wandered",Luke 15:11-24,612,,,,,,,
As Saints of Old Their Firstfruits Brought,,,,,404,,,,
As We Begin Another Week,Rev 1:10,,7,,,,223,,
As with Gladness Men of Old,Matt 2:1-11,397,127,75,82,168,83,,
Asleep in Jesus Blessed Sleep,1 Thess 4:14,,587,,,478,605,,
At Even when the Sun did Set,Mark 1:32-34,,557,,,,,,
At Jesus Feet Our Infant Sweet,,,,,,245,,,
At the Cross Her Station Keeping,,,,,110,,,,
At the Lamb's High Feast We Sing,Ex 12:22,633,,126,210,310,141,,
At the Name of Jesus,Phil 2:5-11,512,,178,179,53,344,,
Awake and Sing the Song,,,,,,17,,,
Awake My Soul to Joyful Lays,Ps 36:7,,340,,,,,,
Awake O Spirit of the Watchmen,2 Thess 3:1,,494,315,382,395,567,,
Awake O Spirit Who Inspired,2 Thess 3:1,,494,315,382,395,567,,
Awake thou spirit of the watchmen,2 Thess 3:1,,494,315,382,395,567,,
Awake Thou Spirit Who Didst Fire,2 Thess 3:1,,494,315,382,395,567,,
"Awake, My Heart, with Gladness",Col 2:15,467,192,128,129,341,156,,
"Awake, My Soul, and with the Sun",Ps. 59:16-17,868,536,478,269,74,582,,
"Awake, O Sleeper, Rise from Death",Eph 5:1-14,697,,,,,,745,
Away in a Manger,Luke 2:7,364-365,,64,67,119,68,644,
Baptismal Waters Cover Me,Heb 10:19-23,616,,,,,,,
Baptized in Water,,,,,,,297,,
Baptized into Thy Name Most Holy,Matt 28:19,590,298,224,192,242,294,,
Baptized into Your Name Most Holy,Matt 28:19,590,298,224,192,242,294,,
Battle Hymn of the Republic,,,,,332,,,,
Be Not Dismayed Thou Little Flock,,,,,,375,,,
"Be Present at Our Table, Lord",Ps 145:15-16,775,,,,,,,
"Be Still, My Soul",Ps 42:4-11,752,651,510,,,415,,
"Be Still, My Soul, before the Lord",Matt 7:7-8,771,,,,,,,
Be Strong in the Lord,Eph 6:10-18,665,,,,,,,866
Beati Pauperes,Matt 5:3-12,,668,,,,,,
Beautiful Savior,Heb 1:1-13,537,657,507,518,54,369,,
Before Jehovah's Awefull Throne,Ps 100,,13,454,531,,,,
Before Jehovah's Awesome Throne,Ps 100,,13,454,531,,,,
Before the Ending of the Day,Ps 91:1-12,889,,489,277,,595,,
Before the Lord We Bow,Ps 145:1,966,575,500,401,,618,,
Before the Throne of God Above,Heb 4:14—5:10,574,,,,,,,
Before Thee God Who Knowest All,Ezra 9:15,613,318,234,310,493,306,,
Before Thy Throne I Now Appear,,,,,,564,,,
Before You God the Judge of All,Ezra 9:15,613,318,234,310,493,306,,
"Before You, Lord, We Bow",Ps 145:1,966,575,500,401,,,,
Before Your Awsome Majesty,,,,,,50,,,
Behold a Branch is Growing,Is 11:1-2,359,645,67,58,121,47,,
Behold a Host Like Mountains Bright,Rev 7:9-17,676,656,192,314,553,550,,
"Behold a Host, Arrayed in White",Rev 7:9-17,676,656,192,314,553,550,,
Behold a Stranger at the Door,Rev 3:20,,650,,,,,,
Behold the Lamb of God!,John 1:29,,165,,,235,101,,
Behold the Savior of Mankind,Luke 23:46,,176,,,,,,
Behold the Sure Foundation-Stone,Ps 118:22,,460,,,,,,
Beloved It Is Well!,Rom 11:33,,519,,,,,,
Beneath the Cross of Jesus,,,,,107,330,,,
Beneath the Cross of Jesus Kneeling,,,,,,288,,,
Bless Our Loved Ones Holy Father,Gen 31:49,,643,469,,576,504,,
Blessed Are the Saints of God,Matt 5:14,,391,370,,,394,,
Blessed Are the Sons of God ,Matt 5:14,,391,370,,,394,,
Blessed Are They Forever Blest,Ps 32,,392,,,416,8,,
Blessed Jesus at Thy Word,Luke 11:28,904,16,202,248,1,221,,
"Blessed Jesus, at Your Word",John 6:63-68,904,16,202,248,1,221,,
"Blessed Savior, Who hast Taught Me",Ezek 16:60,,333,,,,,,
Blessing and Honor and Glory and Power,,,,,525,,,,
Blest Are They,Matt 5:1-12,982-982a,,,,,,764,
Blest Be the God of Israel,,,,,,,275,,
Blest Be the Tie that Binds,Eph 4:3-6,"649, 975",464,295,370,420,494,,
Blest Is the Man Forever Blest,Ps 32,,392,,,416,8,,
Blest the Children of Our God,Eph 1:3-8,,,370,,,,,
bonum Est Confiteri,Ps 92,,663,,,,,,
Bow Down Your Ear Almighty Lord,,,,,286,,,,
Bread of the World in Mercy Broken,,,,,,312,,,
"Break Forth, O Beauteous Heavenly Light",Is 9:2-7,378,,,,118,44,,811
Break Now the Bread of Life,,,,,235,,,,
Breathe on Me Breath of God,,,,,488,,,,
Brief Life Is Here Our Portion,Heb 13:14,,448,,,534,,,
Bright and Glorious is the Sky,,,,,75,120,,,
Brightest and Best of the Sons of the Morning,Matt 2:1-11,400,128,86,84,169,92,,
Brightest and Best of the Stars of the Morning,Matt 2:1-11,400,128,86,84,169,92,,
Brothers and Sisters Let Us Gladly,,,,,,,484,,
Built on the Rock,Matt 16:13-18,645,467,291,365,211,529,,
By Adam's Fall is All Forlorn,,,,,,430,,,
By All Your Saints in Warfare,per apostle,517-518,,193,177,,552,,
By All Your Saints in Warfare,per apostle,517-518,,194,178,,552,,
By All Your Saints Still Striving,per apostle,517-518,,193,177,,552,,
By All Your Saints Still Striving,per apostle,517-518,,194,178,,552,,
By Faith We Are Divinely Sure,,,,,,229,,,
By Grace I'm Saved,Eph 2:4-9,566,373,351,,226,384,,
Cantate Domino,Ps 98,,667,,,,,,
Chief of Sinners Though I Be ,Rom 5:8-11,611,342,285,306,429,385,,
Children of the Heavenly Father,Romans 8:14-17,725,,,474,174,449,,888
Christ Alone is Our Salvation,,,,,,484,,,
Christ be My Leader,John 8:12,861,,365,,,367,,
Christ by Heavenly Hosts Adored,1 Tim 2:1-3,,,499,,,617,,
Christ by Heavenly Hosts Adored,Jer 29:7,,566,,,,617,,
"Christ Has Arisen, Alleluia",Matt 28:5-7,466,,,,,,678,828
Christ High Ascended,,,,,,,558,,
"Christ High-Ascended, Now In Glory Seated",Matt 28:18-20,840,,,,,,,
Christ is Alive Let Christians Sing,,,,,363,,,,
Christ is Arisen,1 Cor 15:17-20,459,187,124,136,,144,,
Christ is Made the Sure Foundation,Eph 2:20-22,909,,,367,8,531,747,865
Christ Is Our Cornerstone,Eph 2:19-21,912,465,290,,,528,,
Christ is Risen Alleluia,,,,,131,,,,
"Christ Is Risen, Christ Is Living",1 Cor 15:12-23,479,,,,,,,833
Christ is Surely Coming,"Rev 3:11; 22:7, 12, 20",509,,,,,,,
Christ is the King O Friends Rejoice,,,,,386,,,,
Christ is the World's Light,,,,,,,343,,
Christ Is the World's Redeemer,Acts 2:21-36,539,,271,,,,,
Christ Jesus lay in Death's Strong Bands,Acts 2:24,458,195,123,134,343,161,,
Christ Sits at God's Right Hand,Heb 7:15-28,564,,,,,,,
Christ the Eternal Lord,Matt 28:18-20,829,,,,,,,
Christ the Lord is Risen Again,Mark 16:6,,190,,,344,155,,
Christ the Lord is Risen Today,Luke 24:4-7,469,193,142,130,,149,,
Christ the Lord is Risen Today; Alleluia,Matt 28:5-7,463,191,137,128,345,150,,
Christ the Lord to Us is Born,Luke 2:11,381,86,69,57,,59,,
Christ Thou Art the Sure Foundation,1 Kings 9:3,,466,,367,,,,
"Christ, Mighty Savior",John 1:1-5,881,,,,567,,729,903
"Christ, Our Human Likeness Sharing",Titus 3:4-8,847,,,,,,,
"Christ, the Life of All the Living",Matt 27:33-46,420,151,94,97,333,114,,
"Christ, the Lord of Hosts, Unshaken",Rev 12:7-12,521,,,,,,,
"Christ, the Word of God Incarnate",John 1:1-14,540,,,,,,,
"Christ, When for Us You Were Baptized",Matt 3:13-17,,,,,,,,815
"Christ, Whose Glory Fills the Skies",John 8:12,873,359,480,265,,,,
Christians Awake Salute the Happy Morn,Luke 2:1-18,,84,,,,,,
Christians Come in Sweetest Measures,Gen 2:10,,282,,,411,,,
Christians Sing Out with Exultation,1 John 4:2,,100,,,,,,
Christians While on Earth Abiding,Matt 6:9-13,,,434,440,,408,,
"Christians, to the Paschal Victim",1 Cor 15:17-20,460,,10,137,,,,
"Church of God, Elect and Glorious",1 Peter 2:9-10,646,,,,,,,864
Cold December Flies Away,,,,,53,,,,
"Come Down, O Love Divine",Rom 5:5,501,,162,508,9,,,
Come Follow Me Said Christ the Lord,Matt 16:24,688,421,379,455,422,453,,
Come Gracious Spirit Heavenly Dove,John 16:13-14,,,161,475,,,,
Come Holy Ghost Creator Blest,"John 14:16, 26",498-499,,158,473,,177,,
Come Holy Ghost in Love,Ezek 36:26,,227,,,11,,,
Come Holy Ghost Our Souls Inspire,John 14:26,498-499,,158,472,,,,
Come Holy Ghost Our Souls Inspire,John 14:26,498-499,233,157,473,10,178,,
Come Holy Spirit Come,Ps 51:10-12,,225,,,,,,
Come Jesus from the Sapphire Throne,Gen 28:17,,634,,,,,,
Come Let Us With Our Lord Arise,,,,,,3,,,
Come My Soul Thy Suit Prepare,1 Kings 3:5,779,459,433,,381,409,,
Come My Soul with All Thy Care,1 Kings 3:5,779,459,433,,381,409,,
Come My Way My Truth My Life,,,,,513,,,,
Come Now Almighty King,Rev 4:8,905,239,169,522,12,193,,
Come O Almighty King,Rev 4:8,905,239,169,522,12,193,,
Come O Come Thou Quickening Spirit,Rom 8:15,,226,165,478,438,181,,
Come O Long Expected Jesus,Is 9:6,,,22,,,6,,
Come O Precious Ransom Come,Matt 21:6,350,55,34,24,88,8,,
Come Oh Come Life Giving Spirit,Rom 8:15,,226,165,478,438,181,,
Come Oh Come O Quickening Spirit,Rom 8:15,,226,165,478,438,181,,
Come Oh Come Thou Quickening Spirit,Rom 8:15,,226,165,478,438,181,,
Come Rejoice Before Your Maker,,,,,,,228,,
"Come Rejoicing, Praises Voicing",Luke 2:1-16,371,82,,66,,,,
Come Risen Lord and Deign to Be Our Guest,,,,,209,,,,
Come to Calvary's Holy Mountain,Zech 13:1,435,149,96,301,412,106,,
"Come unto Me, Ye Weary",Matt 11:28,684,276,345,,413,336,,
Come With Us O Blessed Jesus,,,,,219,,,,
Come Ye Disconsolate,Heb 4:16,,531,,,,,,
Come Ye Faithful Raise the Strain,Ex 15:1-21,487,204,141,132,347,142,,
Come You Thankful People Come,Is 9:3,892,574,495,407,461,613,,
"Come, Holy Ghost, Creator Blest","John 14:16, 26",498-499,233,157,472,10,178,,
"Come, Holy Ghost, God and Lord",Luke 11:13,497,224,154,163,2,176,,
"Come, Join in Cana's Feast",John 2:1-11,408,,,,,,,817
"Come, Let Us Eat",Matt 26:26-29,626,,,214,,,,
"Come, Let Us Join Our Cheerful Songs",Rev 5:6-14,812,344,204,254,66,227,,
"Come, Lord Jesus, Be Our Guest",Ps 145:15-16,776,,,,,,,892
"Come, My Soul, with Every Care",Matt 6:5-13,779,459,433,,381,409,,
"Come, Risen Lord",Mark 14:12-25,,,,,,,,856
"Come, Thou Almighty King",1 Tim 6:14-16,905,239,169,522,12,193,,
"Come, Thou Bright and Morning Star",Ps 5:3,872,539,,,75,,,
"Come, Thou Fount of Every Blessing",John 4:14,686,,,499,,,,876
"Come, Thou Long-Expected Jesus",Is 9:6,338,,22,30,87,6,,
"Come, Thou Precious Ransom, Come",Matt 20:28; 21:5,350,55,34,24,88,8,,
"Come, We That Love the Lord",Is 35:8-18,669,,,,,,742,
"Come, Ye Thankful People, Come",Matt 13:24-30,892,574,495,407,461,613,,
"Come, You Faithful, Raise the Strain",Ex 15:1-21,487,204,141,132,347,142,,
"Come, Your Hearts and Voices Raising",Luke 1:68-71,375,90,48,68,128,42,,
Comfort Comfort All My People,Is 40:1-8,347,61,28,29,102,11,,
Comfort Comfort Now My People,Is 40:1-8,347,61,28,29,102,11,,
Comfort Comfort Says the Voice,Is 40:1-8,,,21,,,,,
Comfort Comfort These My People,Is 40:1-8,347,61,28,29,102,11,,
"Comfort, Comfort Ye My People",Is 40:1-8,347,61,28,29,102,11,,
Commit Whatever Grieves Thee,Ps 37:5,754,520,427,,,,,
Consider How the Birds Above,Matt 6:25-34,736,,,,,,,
Cradling Children in His Arm,Mark 10:13-16,,,,,,,,843
Cradling Children in His Arm,,,,,193,,,,
Create in Me,Ps 51:10-12,956,,5,,,272,,
Creator of the Starry Height,,,,,,108,,,
Creator of the Stars of Night,Col 1:13-17,351,,17,,,31,,
Creator Spirit Heavenly Dove,John 16:13-15,,,156,284,,,,
"Creator Spirit, by Whose Aid",Rom 8:9,500,236,167,164,,188,,
"Cross of Jesus, Cross of Sorrow",John 19:17-30,428,,,,,,,823
Crown Him with Many Crowns,"Rev 19:12, 16",525,341,278,170,55,341,,
Cup of Blessing That We Share,,,,,204,,,,
Day of Wrath Oh Day of Mourning,"Zeph 1:15, 16",,607,,,537,209,,
De Profundis,Ps 130,,664,,,,,,
"Dear Christians, One and All, Rejoice",Ps 98:1-3,556,387,353,299,378,377,,
Dear Father Who hast Made Us All,Gal 3:27,,299,,,,298,,
Dear Father You Have Made Us All,Gal 3:27,,299,,,,298,,
Dear Lord and Father of Mankind,,,,,506,,,,
Dear Lord to Thy True Servants Give,"Is 61:1, 2",,482,,,,542,,
Dear Lord to Your True Servants Give,"Is 61:1, 2",,482,,,,542,,
Dearest Jesus At Your Word,Luke 11:28,904,,202,248,,,,
Dearest Jesus Draw Thou Near Me,,,,,,13,,,
"Dearest Jesus, We Are Here",Mark 10:13-16,592,300,226,187,244,295,,
Death is Dead the True Life Liveth,,,,,,346,,,
Deep Were His Wounds,1 Peter 2:24,,,,,,,,821
Deep Were His Wounds and Red,,,,,100,,107,,
Delay Not Delay Not O Sinner Draw Near,Acts 24:25,,278,349,,,337,,
Do Not Despair O Little Flock,Luke 12:32,666,263,300,361,375,,,
Dominus Regit Me,Ps 23,,662,,,,,,
Down From the Mount of Glory,,,,,,,97,,
Draw Near and Take the Body of the Lord,1 Cor 11:23-26,637,307,240,226,314,309,,
Draw Nigh and Take the Body of the Lord,Ps 34:8,637,307,240,226,314,309,,
Draw Us to Thee,John 6:44-45,701,215,153,,,170,,
Draw Us to Thee in Mind and Heart,,,,,,581,,,
Draw Us to You,Song Solomon 1:4,701,215,153,,,170,,
Drawn to the Cross which You have Blest,John 12:32,560,390,356,,,387,,
"Drawn to the Cross, which Thou hast Blest ",John 12:32,560,390,356,,,387,,
Earth and All Stars,Ps 96:1,817,,438,558,,247,,
Eat This Bread,John 6:35,638,,,,,,709,854
Enslaved by Sin and Bound in Chains,"1 Pet 1:18, 19",,141,,,,102,,
Entrust Your Days and Burdens,Ps 37:5,754,,427,,,,,
"Eternal Father, Strong to Save",Gen 1:1-10,717,,,467,,517,,906
Eternal God Before Your Throne We Bend,,,,,354,,,,
Eternal Ruler of the Ceaseless Round,,,,,373,,,,
Eternal Son of God O Thou,,,,,,68,,,
Eternal Spirit of the Living Christ,Rom 8:26-27,769,,432,441,,,,
Even as We Live Each Day,1 Sam 20:3,755,590,265,350,527,534,,
Evening and Morning,Ps 145,726,,419,465,57,430,,
Every Morning Mercies New,Lam 3:23,,537,,,,580,,
Every Year the Christ Child,Luke 2:4-7,,,66,,117,,,
Faith and Truth and Life Bestowing,Matt 13:3-23,584,,,,,,,
Faith is a Living Power from Heaven,,,,,,361,404,,
Faith of Our Fathers Living Still,,,,,500,,,,
Farewell I Gladly Bid Thee,Rev 3:5,,407,,,535,,,
Father Eternal Ruler of Creation,,,,,413,,,,
Father in Whom We Live,Acts 17:28,,241,,,,,,
Father Let Me Dedicate,1 Pet 2:9,,118,,,,75,,
Father Most Holy,Is 6:2-3,504,240,175,169,436,191,,
Father of Glory to Thy Name,Ps 135:1,,248,,,,,,
Father of Heaven Whose Love Profound,Rev 4:11,,242,,,,,,
Father of Mercies in Thy Word,Ps 119:127,,284,,240,,,,
Father of Mercies in Your Word,Ps 119:127,,284,,240,,,,
Father Son and Holy Ghost,,,,,,509,,,
Father We Praise You Now the Night is Over,Ps 91:1-2,875,,482,267,76,581,,
Father Welcomes,Gal 3:26-27,605,,,,,,,
Father Who the Light this Day,Gen 1:3,,8,,,14,,,
"Father, We Praise Thee",Ps 5:3,875,,482,267,76,581,,
"Father, We Thank Thee",John 6:22-58,652,,,,,,704,898
Fear and Love Thy God and Lord,,,,,,510,,,
"Feed Thy Children, God Most Holy",Ps 145:15-17,774,659,468,,599,616,,
Feed Your Children God Most Holy,Ps 145:15-17,774,659,468,,599,616,,
Fight the Good Fight,1 Tim 6:12,664,447,299,461,249,457,,
Fight the Good Fight with All Thy Might,1 Tim 6:12,664,447,299,461,249,457,,
Filled With the Spirit's Power with One Accord,,,,,160,,,,
First Song of Isaiah,Is 12:1-6,927,,,,,,,
Fling Out the Banner Let It Float,,,,,,504,,,
Fling Wide the Door Unbar the Gate,Ps 24,340-341,73,24,32,91 & 92,3 & 4,,
Flung to the Heedless Winds,Acts 7:59,,259,,,556,,,
For All the Faithful Women,Various scripture,855,,,,,,692,880
For All the Saints,Heb 12:1-3,677,463,191,174,554,551,,
For All Thy Saints O Lord,Rev 7:15,,468,195,176,,555,,
For All Your Saints O Lord,Rev 7:15,,468,195,176,,555,,
For Christian Homes O Lord We Pray,,,,,,,500,,
For Jerusalem You're Weeping,Luke 19:41,,419,390,,,,,
For Many Years O God of Grace,Ps 84:1,,639,325,,,622,,
For Me to Live Is Jesus,Phil 1:20-23,742,597,267,,473,606,,
For Perfect Love So Freely Spent,,,,,216,,,,
For the Beauty of the Earth,,,,,561,463,,,
For the Bread Which You Have Broken,,,,,200,,,,
For the Fruit of All Creation,Mark 4:26-27,894,,,563,,611,,905
For the Fruit of His Creation,Mark 4:26-27,894,,,563,,611,,905
For the Fruits of His Creation,Mark 4:26-27,894,,,563,,611,,905
For Thee O Dear Dear Country,Heb 11:16,,614,,,534,,,
For Thy Mercy and Thy Grace,Ps 59:16,,121,,,,,,
For Years on Years of Matchless Grace,,,,,,,621,,
Forever with the Lord,1 Thess 4:17,,616,,,552,213,,
"Forgive Us, Lord, for Shallow Thankfulness",Phil 1:9-11,788,,401,,,482,,
Forth in the Peace of Christ We Go,1 Peter 2:9,920,,459,,,518,,
"Forth in Thy Name, O Lord, I Go",1 Cor 15:58,854,,380,505,506,456,,
Forth in Your Name O Lord I Go,Col 3:17,854,,380,505,506,456,,
Founded on Thee Our Only Lord,Matt 16:18,,637,,,,,,
From All that Dwell Below the Skies,Ps 117,816,15,440,550,16,250,,
From All Thy Saints in Warfare,per apostle,517-518,,193,177,558,,,
From All Thy Saints in Warfare,per apostle,517-518,,194,178,558,,,
From Calvary's Cross I Heard Christ Say,Heb 5:7,,177,108,,337,,,
From Depths of Woe I Cry to Thee,Ps 130,607,329,230,295,452,305,,
From Depths of Woe I Cry to You,Ps 130,607,329,230,295,452,305,,
From East to West From Shore to Shore,Luke 2:7-11,385,,43,64,267,,,
From Eternity O God,Acts 8:15,,411,,,220,461,,
From God can Nothing Move Me,Rom 8:38-39,713,393,409,468,465,418,,
From God Shall Naught Divide Me,Josh 24:16,713,393,409,468,465,418,,
"From God the Father, Virgin-Born",John 1:14,401,,74,83,,,,
From Greenland's Icy Mountains,Acts 16:9,,495,322,,,571,,
From Heaven Above to Earth I Come,Luke 2:10-20,358,85,37,51,123,38,,
From Heaven Above to Earth I Come,Luke 2:10-20,358,85,37,51,124,38,,
From Heaven Came the Angels Bright,"Luke 2:10, 11",,103,52,,154,53,,
From Shepherding of Stars that Gaze,Luke 2:9-12,,,71,63,,,,
"Fruitful Trees, the Spirit's Sowing",John 15:1-9,691,,,,,,,875
Gentle Mary Laid Her Child,Luke 2:1-20,374,,57,,,56,,
Give Me Jesus,1 Peter 1:8,976,,,,,,777,
Give Praise to God Our King,,,,,,58,,,
Give Thanks to God on High,,,,,,,553,,
Give Thanks with a Grateful Heart,2 Cor 9:15,806,,,,,,,
Give To Our God Immortal Praise,,,,,520,,,,
Glorious in Majesty,,,,,,,496,,
Glorious Things of Thee are Spoken,"Is 33:20, 21",648,469,294,358,214,,,
Glorious Things of You are Spoken,Ps 87,648,469,294,358,214,,,
Glory Be to God in Heaven,,,,,,,264,,
Glory Be to God the Father,Rev 15:3-4,506,244,173,167,410,239,,
Glory Be to Jesus,1 Pet 1:18-19,433,158,98,95,283,103,,
Glory Be to the Father,,,,,,,273,,
"Glory to God, We Give You Thanks and Praise",Luke 2:14,946,,,,,,787,p.7
Go Labor On,,,,,,,563,,
Go Tell it on the Mountain,Luke 2:7-20,388,,504,70,,57,,
Go to Dark Gethsemane,Mark 14:32-38,436,159,110,109,284,104,,
"Go, My Children, with My Blessing",Titus 3:4-7,922,,,,,332,721,887
God Be With You till We Meet Again,,,,,,,327,,
